SDATA,TZ,TP
2024-01-26 23:00,8.7,11.5
2024-01-27 00:00,8.7,12.7
2024-01-27 01:00,8.7,12.4
2024-01-27 02:00,9.1,12.4
2024-01-27 03:00,8.9,12.0
2024-01-27 04:00,9.8,12.2
2024-01-27 05:00,9.6,12.9
2024-01-27 06:00,9.1,13.1
2024-01-27 07:00,7.0,12.9
2024-01-27 08:00,7.7,13.4
2024-01-27 09:00,7.3,12.7
2024-01-27 10:00,8.2,12.7
2024-01-27 11:00,8.2,13.1
2024-01-27 12:00,7.7,14.1
2024-01-27 13:00,8.4,13.1
2024-01-27 14:00,8.7,13.4
2024-01-27 15:00,9.1,14.1
2024-01-27 16:00,8.9,13.8
2024-01-27 17:00,9.6,15.5
2024-01-27 18:00,10.1,14.3
2024-01-27 19:00,9.8,12.4
2024-01-27 20:00,9.4,12.4
2024-01-27 21:00,10.1,15.0
2024-01-27 22:00,10.5,15.0
2024-01-27 23:00,9.8,13.4
2024-01-28 00:00,10.1,12.2
2024-01-28 01:00,10.5,15.2
2024-01-28 02:00,10.3,15.5
2024-01-28 03:00,10.3,14.5
2024-01-28 04:00,9.6,12.0
2024-01-28 05:00,10.3,14.3
2024-01-28 06:00,9.8,14.3
2024-01-28 07:00,9.8,14.1
2024-01-28 08:00,8.9,14.5
2024-01-28 09:00,8.4,12.7
2024-01-28 10:00,8.2,13.4
2024-01-28 11:00,7.3,14.5
2024-01-28 12:00,6.8,12.9
2024-01-28 13:00,6.8,12.4
2024-01-28 14:00,7.0,12.9
2024-01-28 15:00,6.6,13.4
2024-01-28 16:00,6.8,14.3
2024-01-28 17:00,6.1,14.3
2024-01-28 18:00,6.3,15.5
2024-01-28 19:00,6.3,14.5
2024-01-28 20:00,6.8,15.0
2024-01-28 21:00,6.3,14.1
2024-01-28 22:00,6.3,13.8
2024-01-28 23:00,7.0,13.8
2024-01-29 00:00,6.3,13.4
2024-01-29 01:00,6.3,13.4
2024-01-29 02:00,6.8,13.8
2024-01-29 03:00,6.3,13.4
2024-01-29 04:00,6.1,13.8
2024-01-29 05:00,5.6,12.7
2024-01-29 06:00,5.6,13.4
2024-01-29 07:00,5.6,13.4
2024-01-29 08:00,5.6,14.1
2024-01-29 09:00,5.4,13.4
2024-01-29 10:00,5.2,5.2
2024-01-29 11:00,5.4,13.1
2024-01-29 12:00,5.4,13.4
2024-01-29 13:00,5.4,12.9
2024-01-29 14:00,5.4,12.9
2024-01-29 15:00,5.6,13.6
2024-01-29 16:00,5.6,13.1
2024-01-29 17:00,5.9,16.4
2024-01-29 18:00,6.3,12.9
2024-01-29 19:00,6.1,16.2
2024-01-29 20:00,5.6,15.5
2024-01-29 21:00,5.9,13.4
2024-01-29 22:00,5.9,14.8
2024-01-29 23:00,5.4,11.0
2024-01-30 00:00,5.6,6.8
2024-01-30 01:00,5.6,14.8
2024-01-30 02:00,5.6,15.0
2024-01-30 03:00,5.6,13.6
2024-01-30 04:00,5.6,14.5
2024-01-30 05:00,,13.8
2024-01-30 06:00,5.9,13.4
2024-01-30 07:00,5.9,13.8
2024-01-30 08:00,6.1,12.7
2024-01-30 09:00,5.9,12.0
2024-01-30 10:00,5.9,13.8
2024-01-30 11:00,5.9,12.4
2024-01-30 12:00,5.9,12.7
2024-01-30 13:00,5.9,7.3
2024-01-30 14:00,5.4,6.8
2024-01-30 15:00,5.9,12.2
2024-01-30 16:00,5.9,12.9
2024-01-30 17:00,6.1,7.3
2024-01-30 18:00,5.9,7.3
2024-01-30 19:00,6.1,7.7
2024-01-30 20:00,5.9,7.7
2024-01-30 21:00,5.6,7.0
2024-01-30 22:00,5.9,8.0
2024-01-30 23:00,5.9,7.7
2024-01-31 00:00,5.9,11.7
2024-01-31 01:00,5.9,7.0
2024-01-31 02:00,5.6,13.1
2024-01-31 03:00,5.4,7.0
2024-01-31 04:00,5.6,7.7
2024-01-31 05:00,,8.0
2024-01-31 06:00,5.9,8.4
2024-01-31 07:00,5.9,8.2
2024-01-31 08:00,5.6,7.7
2024-01-31 09:00,5.6,8.0
2024-01-31 10:00,5.4,7.0
2024-01-31 11:00,5.6,7.7
2024-01-31 12:00,5.2,8.0
2024-01-31 13:00,5.4,6.8
2024-01-31 14:00,5.2,6.6
2024-01-31 15:00,5.4,7.7
2024-01-31 16:00,5.4,7.7
2024-01-31 17:00,5.4,7.3
2024-01-31 18:00,5.4,8.2
2024-01-31 19:00,5.6,8.4
2024-01-31 20:00,5.4,7.5
2024-01-31 21:00,5.4,8.0
2024-01-31 22:00,5.4,7.3
2024-01-31 23:00,5.2,6.8
