Valor nulo: -9999.9		
Fecha (GMT)	Velocidad media de Corriente(m/s)	Dir. de prop. de la Corriente (0=N,90=E)
2011 05 03 16	0.063	194.83
2011 05 03 17	0.054	187.46
2011 05 03 18	0.047	163.89
2011 05 03 19	0.048	136.65
2011 05 03 20	0.061	109.21
2011 05 03 21	0.077	110.24
2011 05 03 22	0.082	124.64
2011 05 03 23	0.085	146.73
2011 05 04 00	0.106	177.5
2011 05 04 01	0.148	199.51
2011 05 04 02	0.201	214.43
2011 05 04 03	0.246	224.85
2011 05 04 04	0.278	233.82
2011 05 04 05	0.297	242.1
2011 05 04 06	0.296	250.93
2011 05 04 07	0.287	260.75
2011 05 04 08	0.265	275.27
2011 05 04 09	0.253	294.86
2011 05 04 10	0.252	313.29
2011 05 04 11	0.243	329.19
2011 05 04 12	0.235	344.98
2011 05 04 13	0.206	358.52
2011 05 04 14	0.15	10.52
2011 05 04 15	0.096	32.31
2011 05 04 16	0.07	79.54
2011 05 04 17	0.087	122.26
2011 05 04 18	0.117	141.9
2011 05 04 19	0.139	151.93
2011 05 04 20	0.143	155.87
2011 05 04 21	0.16	168.61
2011 05 04 22	0.171	182.17
2011 05 04 23	0.171	197.91
2011 05 05 00	0.179	216.52
2011 05 05 01	0.195	232.35
2011 05 05 02	0.221	244.07
2011 05 05 03	0.245	252.7
2011 05 05 04	0.264	259.32
2011 05 05 05	0.271	265.39
2011 05 05 06	0.271	271.39
2011 05 05 07	0.262	279.44
2011 05 05 08	0.244	293.28
2011 05 05 09	0.24	309.77
2011 05 05 10	0.245	328.37
2011 05 05 11	0.249	348.05
2011 05 05 12	0.243	3.98
2011 05 05 13	0.206	16.99
2011 05 05 14	0.144	30.05
2011 05 05 15	0.108	62.02
2011 05 05 16	0.11	99.1
2011 05 05 17	0.136	130.17
2011 05 05 18	0.178	147.95
2011 05 05 19	0.215	158.88
2011 05 05 20	0.233	166.27
2011 05 05 21	0.236	174.97
2011 05 05 22	0.211	184.32
2011 05 05 23	0.161	197.47
2011 05 06 00	0.122	224.23
2011 05 06 01	0.113	261.59
2011 05 06 02	0.132	287.41
2011 05 06 03	0.159	296.0
2011 05 06 04	0.172	300.24
2011 05 06 05	0.175	301.91
2011 05 06 06	0.172	299.07
2011 05 06 07	0.166	305.78
2011 05 06 08	0.16	318.04
2011 05 06 09	0.173	333.09
2011 05 06 10	0.218	354.04
2011 05 06 11	0.274	12.53
2011 05 06 12	0.307	30.5
2011 05 06 13	0.315	48.97
2011 05 06 14	0.284	69.75
2011 05 06 15	0.25	92.77
2011 05 06 16	0.237	114.57
2011 05 06 17	0.237	136.26
2011 05 06 18	0.245	152.62
2011 05 06 19	0.236	164.32
2011 05 06 20	0.21	172.36
2011 05 06 21	0.177	178.72
2011 05 06 22	0.135	184.21
2011 05 06 23	0.092	190.43
2011 05 07 00	0.042	208.53
2011 05 07 01	0.019	298.65
2011 05 07 02	0.06	1.32
2011 05 07 03	0.099	25.13
2011 05 07 04	0.11	43.83
2011 05 07 05	0.111	65.39
2011 05 07 06	0.111	96.53
2011 05 07 07	0.129	133.29
2011 05 07 08	0.157	146.66
2011 05 07 09	0.174	155.3
2011 05 07 10	0.186	164.15
2011 05 07 11	0.173	166.2
2011 05 07 12	0.122	165.53
2011 05 07 13	0.059	155.11
2011 05 07 14	0.041	72.18
2011 05 07 15	0.097	44.95
2011 05 07 16	0.126	46.41
2011 05 07 17	0.127	56.96
2011 05 07 18	0.129	73.53
2011 05 07 19	0.128	91.88
2011 05 07 20	0.135	107.55
2011 05 07 21	0.152	118.89
2011 05 07 22	0.164	127.45
2011 05 07 23	0.166	135.49
2011 05 08 00	0.149	137.02
2011 05 08 01	0.105	126.0
2011 05 08 02	0.078	92.81
2011 05 08 03	0.084	61.26
2011 05 08 04	0.091	54.83
2011 05 08 05	0.061	69.54
2011 05 08 06	0.037	126.62
2011 05 08 07	0.047	180.16
2011 05 08 08	0.059	206.17
2011 05 08 09	0.061	231.71
2011 05 08 10	0.062	263.76
2011 05 08 11	0.076	290.39
2011 05 08 12	0.108	324.99
2011 05 08 13	0.166	345.05
2011 05 08 14	0.213	357.36
2011 05 08 15	0.269	12.19
2011 05 08 16	0.286	25.51
2011 05 08 17	0.245	40.61
2011 05 08 18	0.207	66.75
2011 05 08 19	0.202	94.13
2011 05 08 20	0.211	116.06
2011 05 08 21	0.231	133.95
2011 05 08 22	0.245	146.45
2011 05 08 23	0.242	155.6
2011 05 09 00	0.225	166.15
2011 05 09 01	0.181	175.44
2011 05 09 02	0.127	187.36
2011 05 09 03	0.078	207.64
2011 05 09 04	0.046	241.29
2011 05 09 05	0.052	263.75
2011 05 09 06	0.068	267.66
2011 05 09 07	0.08	270.23
2011 05 09 08	0.093	276.44
2011 05 09 09	0.106	284.55
2011 05 09 10	0.116	297.71
2011 05 09 11	0.127	313.32
2011 05 09 12	0.164	332.63
2011 05 09 13	0.219	348.43
2011 05 09 14	0.259	359.77
2011 05 09 15	0.275	11.65
2011 05 09 16	0.264	24.13
2011 05 09 17	0.21	37.69
2011 05 09 18	0.154	58.87
2011 05 09 19	0.126	93.38
2011 05 09 20	0.136	131.6
2011 05 09 21	0.165	159.0
2011 05 09 22	0.185	177.25
2011 05 09 23	0.175	191.33
2011 05 10 00	0.161	212.52
2011 05 10 01	0.147	243.0
2011 05 10 02	0.158	275.09
2011 05 10 03	0.189	292.71
2011 05 10 04	0.215	306.37
2011 05 10 05	0.227	312.27
2011 05 10 06	0.231	313.79
2011 05 10 07	0.235	316.66
2011 05 10 08	0.233	317.51
2011 05 10 09	0.228	316.89
2011 05 10 10	0.226	321.5
2011 05 10 11	0.221	328.25
2011 05 10 12	0.222	338.84
2011 05 10 13	0.227	351.63
2011 05 10 14	0.209	2.16
2011 05 10 15	0.17	15.17
2011 05 10 16	0.118	34.19
2011 05 10 17	0.052	72.44
2011 05 10 18	0.049	157.66
2011 05 10 19	0.094	196.81
2011 05 10 20	0.136	217.02
2011 05 10 21	0.183	233.47
2011 05 10 22	0.226	247.99
2011 05 10 23	0.251	261.4
2011 05 11 00	0.088	282.91
2011 05 11 01	0.117	284.03
2011 05 11 02	0.134	292.86
2011 05 11 03	0.15	303.7
2011 05 11 04	0.165	319.77
2011 05 11 05	0.17	335.41
2011 05 11 06	0.154	347.27
2011 05 11 07	0.126	358.56
2011 05 11 08	0.088	6.34
2011 05 11 09	0.039	347.96
2011 05 11 10	0.042	285.0
2011 05 11 11	0.08	270.82
2011 05 11 12	0.115	275.12
2011 05 11 13	0.138	286.12
2011 05 11 14	0.152	297.9
2011 05 11 15	0.155	313.03
2011 05 11 16	0.148	328.51
2011 05 11 17	0.132	341.22
2011 05 11 18	0.109	351.78
2011 05 11 19	0.078	355.16
2011 05 11 20	0.056	351.97
2011 05 11 21	0.034	312.69
2011 05 11 22	0.064	260.27
2011 05 11 23	0.1	256.18
2011 05 12 00	0.142	259.67
2011 05 12 01	0.172	265.34
2011 05 12 02	0.178	275.03
2011 05 12 03	0.18	286.42
2011 05 12 04	0.173	303.96
2011 05 12 05	0.167	323.37
2011 05 12 06	0.139	335.96
2011 05 12 07	0.107	345.31
2011 05 12 08	0.065	345.66
2011 05 12 09	0.042	287.6
2011 05 12 10	0.085	254.32
2011 05 12 11	0.13	254.3
2011 05 12 12	0.172	258.82
2011 05 12 13	0.194	267.82
2011 05 12 14	0.206	274.97
2011 05 12 15	0.203	285.42
2011 05 12 16	0.189	298.12
2011 05 12 17	0.173	311.63
2011 05 12 18	0.154	326.81
2011 05 12 19	0.133	341.96
2011 05 12 20	0.104	350.4
2011 05 12 21	0.064	341.33
2011 05 12 22	0.047	287.1
2011 05 12 23	0.077	254.12
2011 05 13 00	0.137	253.12
2011 05 13 01	0.184	258.86
2011 05 13 02	0.207	264.7
2011 05 13 03	0.223	269.02
2011 05 13 04	0.221	276.06
2011 05 13 05	0.219	282.22
2011 05 13 06	0.217	287.19
2011 05 13 07	0.214	293.41
2011 05 13 08	0.205	297.09
2011 05 13 09	0.194	296.6
2011 05 13 10	0.187	291.22
2011 05 13 11	0.19	280.75
2011 05 13 12	0.201	272.13
2011 05 13 13	0.224	266.08
2011 05 13 14	0.251	262.92
2011 05 13 15	0.258	264.59
2011 05 13 16	0.259	267.19
2011 05 13 17	0.265	273.59
2011 05 13 18	0.261	284.31
2011 05 13 19	0.252	296.13
2011 05 13 20	0.234	306.0
2011 05 13 21	0.199	312.69
2011 05 13 22	0.152	308.34
2011 05 13 23	0.12	288.64
2011 05 14 00	0.124	260.54
2011 05 14 01	0.166	243.5
2011 05 14 02	0.215	238.71
2011 05 14 03	0.252	239.08
2011 05 14 04	0.277	242.22
2011 05 14 05	0.294	246.17
2011 05 14 06	0.305	250.77
2011 05 14 07	0.31	257.16
2011 05 14 08	0.311	265.06
2011 05 14 09	0.312	274.39
2011 05 14 10	0.314	284.01
2011 05 14 11	0.314	288.55
2011 05 14 12	0.29	294.71
2011 05 14 13	0.251	297.23
2011 05 14 14	0.217	292.22
2011 05 14 15	0.175	285.77
2011 05 14 16	0.14	276.55
2011 05 14 17	0.123	264.24
2011 05 14 18	0.111	252.39
2011 05 14 19	0.107	242.14
2011 05 14 20	0.115	239.38
2011 05 14 21	0.127	239.22
2011 05 14 22	0.139	241.58
2011 05 14 23	0.167	243.66
2011 05 15 00	0.218	241.61
2011 05 15 01	0.261	242.16
2011 05 15 02	0.301	242.27
2011 05 15 03	0.336	245.41
2011 05 15 04	0.359	249.7
2011 05 15 05	0.367	255.11
2011 05 15 06	0.374	262.31
2011 05 15 07	0.376	271.27
2011 05 15 08	0.366	283.23
2011 05 15 09	0.365	298.6
2011 05 15 10	0.36	313.96
2011 05 15 11	0.328	327.49
2011 05 15 12	0.255	336.71
2011 05 15 13	0.158	336.65
2011 05 15 14	0.071	306.66
2011 05 15 15	0.091	235.81
2011 05 15 16	0.169	226.51
2011 05 15 17	0.215	230.86
2011 05 15 18	0.253	238.01
2011 05 15 19	0.278	248.16
2011 05 15 20	0.284	262.26
2011 05 15 21	0.294	277.28
2011 05 15 22	0.299	288.99
2011 05 15 23	0.282	295.17
2011 05 16 00	0.262	290.93
2011 05 16 01	0.265	279.73
2011 05 16 02	0.287	271.64
2011 05 16 03	0.326	267.31
2011 05 16 04	0.354	267.9
2011 05 16 05	0.37	270.8
2011 05 16 06	0.375	275.82
2011 05 16 07	0.368	280.8
2011 05 16 08	0.345	286.3
2011 05 16 09	0.313	290.56
2011 05 16 10	0.283	289.58
2011 05 16 11	0.258	284.73
2011 05 16 12	0.254	277.1
2011 05 16 13	0.28	267.98
2011 05 16 14	0.325	262.4
2011 05 16 15	0.367	260.62
2011 05 16 16	0.405	260.42
2011 05 16 17	0.432	263.76
2011 05 16 18	0.437	268.63
2011 05 16 19	0.425	275.23
2011 05 16 20	0.396	283.95
2011 05 16 21	0.363	292.67
2011 05 16 22	0.319	298.79
2011 05 16 23	0.269	299.86
2011 05 17 00	0.229	292.54
2011 05 17 01	0.224	276.16
2011 05 17 02	0.258	262.73
2011 05 17 03	0.306	256.14
2011 05 17 04	0.346	254.41
2011 05 17 05	0.377	255.45
2011 05 17 06	0.396	257.87
2011 05 17 07	0.394	264.16
2011 05 17 08	0.384	271.03
2011 05 17 09	0.361	280.28
2011 05 17 10	0.336	289.8
2011 05 17 11	0.315	295.7
2011 05 17 12	0.289	299.29
2011 05 17 13	0.265	300.5
2011 05 17 14	0.247	294.98
2011 05 17 15	0.234	288.88
2011 05 17 16	0.229	282.84
2011 05 17 17	0.232	279.45
2011 05 17 18	0.22	282.42
2011 05 17 19	0.197	289.1
2011 05 17 20	0.176	296.04
2011 05 17 21	0.152	302.56
2011 05 17 22	0.13	302.83
2011 05 17 23	0.116	292.46
2011 05 18 00	0.129	276.07
2011 05 18 01	0.168	264.87
2011 05 18 02	0.216	262.07
2011 05 18 03	0.255	264.2
2011 05 18 04	0.282	268.01
2011 05 18 05	0.302	271.37
2011 05 18 06	0.301	278.63
2011 05 18 07	0.297	286.03
2011 05 18 08	0.285	296.02
2011 05 18 09	0.268	305.22
2011 05 18 10	0.249	311.62
2011 05 18 11	0.23	316.08
2011 05 18 12	0.216	324.26
2011 05 18 13	0.194	329.22
2011 05 18 14	0.167	331.34
2011 05 18 15	0.096	344.74
2011 05 18 16	0.014	354.23
2011 05 18 17	0.047	186.81
2011 05 18 18	0.097	195.3
2011 05 18 19	0.13	204.7
2011 05 18 20	0.146	214.37
2011 05 18 21	0.155	225.19
2011 05 18 22	0.164	235.58
2011 05 18 23	0.166	247.84
2011 05 19 00	0.172	263.35
2011 05 19 01	0.178	273.83
2011 05 19 02	0.186	280.77
2011 05 19 03	0.186	288.74
2011 05 19 04	0.178	297.02
2011 05 19 05	0.16	306.22
2011 05 19 06	0.15	318.06
2011 05 19 07	0.147	335.65
2011 05 19 08	0.154	356.39
2011 05 19 09	0.155	11.17
2011 05 19 10	0.149	21.64
2011 05 19 11	0.139	31.54
2011 05 19 12	0.124	40.72
2011 05 19 13	0.098	49.86
2011 05 19 14	0.059	59.31
2011 05 19 15	0.029	75.35
2011 05 19 16	0.015	171.02
2011 05 19 17	0.047	220.38
2011 05 19 18	0.075	231.75
2011 05 19 19	0.099	241.02
2011 05 19 20	0.108	252.39
2011 05 19 21	0.107	265.35
2011 05 19 22	0.108	280.79
2011 05 19 23	0.109	300.7
2011 05 20 00	0.099	321.21
2011 05 20 01	0.085	332.39
2011 05 20 02	0.066	336.41
2011 05 20 03	0.046	342.95
2011 05 20 04	0.023	333.76
2011 05 20 05	0.009	301.22
2011 05 20 06	0.009	222.64
2011 05 20 07	0.025	181.48
2011 05 20 08	0.036	168.73
2011 05 20 09	0.032	172.59
2011 05 20 10	0.016	172.02
2011 05 20 11	0.006	52.58
2011 05 20 12	0.029	357.16
2011 05 20 13	0.058	2.58
2011 05 20 14	0.08	10.45
2011 05 20 15	0.089	24.03
2011 05 20 16	0.08	39.78
2011 05 20 17	0.067	59.27
2011 05 20 18	0.061	87.42
2011 05 20 19	0.062	110.89
2011 05 20 20	0.069	120.29
2011 05 20 21	0.076	129.08
2011 05 20 22	0.075	140.24
2011 05 20 23	0.063	145.0
2011 05 21 00	0.038	164.19
2011 05 21 01	0.029	221.71
2011 05 21 02	0.042	264.62
2011 05 21 03	0.065	283.19
2011 05 21 04	0.084	288.45
2011 05 21 05	0.097	292.16
2011 05 21 06	0.106	296.59
2011 05 21 07	0.115	305.86
2011 05 21 08	0.12	318.96
2011 05 21 09	0.12	331.87
2011 05 21 10	0.117	340.15
2011 05 21 11	0.113	348.86
2011 05 21 12	0.124	3.79
2011 05 21 13	0.159	17.24
2011 05 21 14	0.186	25.13
2011 05 21 15	0.201	40.69
2011 05 21 16	0.193	56.57
2011 05 21 17	0.176	72.72
2011 05 21 18	0.16	92.74
2011 05 21 19	0.151	112.74
2011 05 21 20	0.155	124.74
2011 05 21 21	0.166	139.82
2011 05 21 22	0.178	152.73
2011 05 21 23	0.178	163.48
2011 05 22 00	0.175	177.74
2011 05 22 01	0.161	189.59
2011 05 22 02	0.148	205.4
2011 05 22 03	0.141	227.68
2011 05 22 04	0.139	251.84
2011 05 22 05	0.147	269.32
2011 05 22 06	0.155	280.36
2011 05 22 07	0.155	291.84
2011 05 22 08	0.14	304.92
2011 05 22 09	0.13	317.95
2011 05 22 10	0.122	329.04
2011 05 22 11	0.11	339.71
2011 05 22 12	0.115	356.42
2011 05 22 13	0.15	11.96
2011 05 22 14	0.204	20.18
2011 05 22 15	0.287	30.1
2011 05 22 16	0.336	41.96
2011 05 22 17	0.334	57.33
2011 05 22 18	0.318	77.37
2011 05 22 19	0.302	99.09
2011 05 22 20	0.298	117.03
2011 05 22 21	0.286	133.04
2011 05 22 22	0.273	147.16
2011 05 22 23	0.258	160.05
2011 05 23 00	0.243	176.19
2011 05 23 01	0.223	192.28
2011 05 23 02	0.196	210.69
2011 05 23 03	0.168	234.03
2011 05 23 04	0.14	271.39
2011 05 23 05	0.154	308.69
2011 05 23 06	0.167	325.72
2011 05 23 07	0.153	337.96
2011 05 23 08	0.118	351.87
2011 05 23 09	0.069	6.58
2011 05 23 10	0.046	38.1
2011 05 23 11	0.035	75.6
2011 05 23 12	0.032	100.54
2011 05 23 13	0.024	103.1
2011 05 23 14	0.015	79.37
2011 05 23 15	0.049	33.4
2011 05 23 16	0.111	34.73
2011 05 23 17	0.173	43.59
2011 05 23 18	0.208	58.63
2011 05 23 19	0.199	79.86
2011 05 23 20	0.183	102.84
2011 05 23 21	0.171	128.17
2011 05 23 22	0.17	152.36
2011 05 23 23	0.168	170.46
2011 05 24 00	0.168	184.05
2011 05 24 01	0.155	197.07
2011 05 24 02	0.135	210.79
2011 05 24 03	0.115	229.98
2011 05 24 04	0.079	272.91
2011 05 24 05	0.104	337.27
2011 05 24 06	0.146	5.34
2011 05 24 07	0.159	26.02
2011 05 24 08	0.146	49.42
2011 05 24 09	0.107	82.7
2011 05 24 10	0.094	121.78
2011 05 24 11	0.106	156.65
2011 05 24 12	0.118	180.17
2011 05 24 13	0.114	199.35
2011 05 24 14	0.095	221.61
2011 05 24 15	0.056	277.19
2011 05 24 16	0.118	358.56
2011 05 24 17	0.233	23.89
2011 05 24 18	0.292	39.9
2011 05 24 19	0.274	55.8
2011 05 24 20	0.217	74.35
2011 05 24 21	0.139	98.12
2011 05 24 22	0.085	130.55
2011 05 24 23	0.06	166.84
2011 05 25 00	0.059	280.52
2011 05 25 01	0.093	338.88
2011 05 25 02	0.12	6.31
2011 05 25 03	0.135	31.02
2011 05 25 04	0.162	50.8
2011 05 25 05	0.193	64.21
2011 05 25 06	0.209	73.76
2011 05 25 07	0.205	85.43
2011 05 25 08	0.179	105.33
2011 05 25 09	0.155	132.83
2011 05 25 10	0.136	160.66
2011 05 25 11	0.117	187.55
2011 05 25 12	0.092	218.3
2011 05 25 13	0.083	254.33
2011 05 25 14	0.083	291.71
2011 05 25 15	0.085	324.62
2011 05 25 16	0.091	357.91
2011 05 25 17	0.111	26.97
2011 05 25 18	0.151	53.82
2011 05 25 19	0.166	79.12
2011 05 25 20	0.162	106.12
2011 05 25 21	0.161	142.25
2011 05 25 22	0.183	169.42
2011 05 25 23	0.201	187.39
2011 05 26 00	0.193	199.73
2011 05 26 01	0.172	211.39
2011 05 26 02	0.15	225.75
2011 05 26 03	0.128	237.96
2011 05 26 04	0.106	251.45
2011 05 26 05	0.071	272.04
2011 05 26 06	0.049	302.92
2011 05 26 07	0.037	343.97
2011 05 26 08	0.047	39.18
2011 05 26 09	0.052	99.46
2011 05 26 10	0.087	141.46
2011 05 26 11	0.132	162.15
2011 05 26 12	0.191	186.99
2011 05 26 13	0.222	201.58
2011 05 26 14	0.252	215.55
2011 05 26 15	0.247	230.93
2011 05 26 16	0.22	251.66
2011 05 26 17	0.212	272.56
2011 05 26 18	0.194	305.47
2011 05 26 19	0.193	340.39
2011 05 26 20	0.183	10.17
2011 05 26 21	0.144	42.54
2011 05 26 22	0.116	87.84
2011 05 26 23	0.134	124.35
2011 05 27 00	0.153	154.57
2011 05 27 01	0.17	175.11
2011 05 27 02	0.173	190.64
2011 05 27 03	0.166	207.36
2011 05 27 04	0.143	224.68
2011 05 27 05	0.118	246.73
2011 05 27 06	0.099	275.01
2011 05 27 07	0.089	317.26
2011 05 27 08	0.091	351.2
2011 05 27 09	0.059	8.46
2011 05 27 10	0.003	181.55
2011 05 27 11	0.092	204.39
2011 05 27 12	0.164	211.12
2011 05 27 13	0.197	219.04
2011 05 27 14	0.213	230.11
2011 05 27 15	0.192	245.31
2011 05 27 16	0.169	265.01
2011 05 27 17	0.151	289.38
2011 05 27 18	0.131	320.75
2011 05 27 19	0.114	356.87
2011 05 27 20	0.108	35.98
2011 05 27 21	0.114	74.37
2011 05 27 22	0.118	117.74
2011 05 27 23	0.149	154.08
2011 05 28 00	0.181	179.87
2011 05 28 01	0.217	202.02
2011 05 28 02	0.24	217.65
2011 05 28 03	0.228	231.5
2011 05 28 04	0.201	249.73
2011 05 28 05	0.176	273.57
2011 05 28 06	0.152	310.65
2011 05 28 07	0.155	349.36
2011 05 28 08	0.179	25.0
2011 05 28 09	0.193	55.7
2011 05 28 10	0.199	86.57
2011 05 28 11	0.214	118.33
2011 05 28 12	0.251	145.22
2011 05 28 13	0.296	164.56
2011 05 28 14	0.319	177.79
2011 05 28 15	0.32	187.26
2011 05 28 16	0.3	196.28
2011 05 28 17	0.267	206.24
2011 05 28 18	0.226	216.58
2011 05 28 19	0.189	229.82
2011 05 28 20	0.15	245.86
2011 05 28 21	0.117	264.61
2011 05 28 22	0.091	277.17
2011 05 28 23	0.057	287.15
2011 05 29 00	0.036	258.1
2011 05 29 01	0.063	216.61
2011 05 29 02	0.104	208.36
2011 05 29 03	0.131	211.4
2011 05 29 04	0.135	218.26
2011 05 29 05	0.119	227.45
2011 05 29 06	0.093	241.99
2011 05 29 07	0.07	259.84
2011 05 29 08	0.046	275.32
2011 05 29 09	0.033	284.59
2011 05 29 10	0.023	293.99
2011 05 29 11	0.014	353.62
2011 05 29 12	0.025	70.04
2011 05 29 13	0.045	110.06
2011 05 29 14	0.072	141.21
2011 05 29 15	0.106	151.15
2011 05 29 16	0.133	161.9
2011 05 29 17	0.149	169.02
2011 05 29 18	0.16	167.83
2011 05 29 19	0.168	168.99
2011 05 29 20	0.17	169.28
2011 05 29 21	0.164	166.57
2011 05 29 22	0.159	166.53
2011 05 29 23	0.154	167.02
2011 05 30 00	0.152	170.5
2011 05 30 01	0.167	178.08
2011 05 30 02	0.187	186.05
2011 05 30 03	0.194	190.37
2011 05 30 04	0.186	192.05
2011 05 30 05	0.175	193.4
2011 05 30 06	0.146	192.79
2011 05 30 07	0.111	187.19
2011 05 30 08	0.073	164.69
2011 05 30 09	0.077	119.66
2011 05 30 10	0.118	110.2
2011 05 30 11	0.155	117.62
2011 05 30 12	0.19	125.91
2011 05 30 13	0.219	134.68
2011 05 30 14	0.243	141.87
2011 05 30 15	0.25	142.67
2011 05 30 16	0.25	144.15
2011 05 30 17	0.249	145.33
2011 05 30 18	0.246	144.2
2011 05 30 19	0.236	142.38
2011 05 30 20	0.215	137.21
2011 05 30 21	0.199	130.19
2011 05 30 22	0.183	129.5
2011 05 30 23	0.167	135.7
2011 05 31 00	0.151	150.81
2011 05 31 01	0.148	170.48
2011 05 31 02	0.149	187.82
2011 05 31 03	0.133	199.38
2011 05 31 04	0.099	214.51
2011 05 31 05	0.059	244.5
2011 05 31 06	0.045	298.68
2011 05 31 07	0.055	348.7
2011 05 31 08	0.071	17.17
2011 05 31 09	0.087	34.15
2011 05 31 10	0.093	47.03
2011 05 31 11	0.091	58.73
2011 05 31 12	0.104	57.34
2011 05 31 13	0.119	54.41
2011 05 31 14	0.132	56.29
2011 05 31 15	0.16	65.85
2011 05 31 16	0.2	75.41
2011 05 31 17	0.248	82.44
2011 05 31 18	0.29	88.24
2011 05 31 19	0.323	92.83
2011 05 31 20	0.342	96.52
2011 05 31 21	0.347	101.79
2011 05 31 22	0.34	108.45
2011 05 31 23	0.318	115.8
2011 06 01 00	0.269	112.65
2011 06 01 01	0.229	124.71
2011 06 01 02	0.195	139.12
2011 06 01 03	0.168	153.52
2011 06 01 04	0.139	163.72
2011 06 01 05	0.112	172.08
2011 06 01 06	0.074	177.12
2011 06 01 07	0.027	165.29
2011 06 01 08	0.037	48.45
2011 06 01 09	0.081	29.66
2011 06 01 10	0.114	25.44
2011 06 01 11	0.128	24.94
2011 06 01 12	0.155	21.09
2011 06 01 13	0.194	19.52
2011 06 01 14	0.221	21.65
2011 06 01 15	0.256	30.39
2011 06 01 16	0.293	40.78
2011 06 01 17	0.328	50.86
2011 06 01 18	0.363	63.09
2011 06 01 19	0.405	72.89
2011 06 01 20	0.43	81.36
2011 06 01 21	0.423	91.29
2011 06 01 22	0.395	101.88
2011 06 01 23	0.354	112.08
2011 06 02 00	0.289	130.0
2011 06 02 01	0.232	149.61
2011 06 02 02	0.19	169.79
2011 06 02 03	0.158	195.01
2011 06 02 04	0.129	223.0
2011 06 02 05	0.11	256.08
2011 06 02 06	0.118	293.52
2011 06 02 07	0.146	325.99
2011 06 02 08	0.186	351.09
2011 06 02 09	0.217	6.85
2011 06 02 10	0.237	18.63
2011 06 02 11	0.246	27.76
2011 06 02 12	0.256	34.44
2011 06 02 13	0.266	39.15
2011 06 02 14	0.268	45.13
2011 06 02 15	0.281	53.65
2011 06 02 16	0.301	63.6
2011 06 02 17	0.314	74.48
2011 06 02 18	0.331	84.24
2011 06 02 19	0.34	90.65
2011 06 02 20	0.331	93.85
2011 06 02 21	0.305	97.07
2011 06 02 22	0.274	99.79
2011 06 02 23	0.238	102.49
2011 06 03 00	0.193	104.44
2011 06 03 01	0.149	103.17
2011 06 03 02	0.112	96.08
2011 06 03 03	0.072	78.63
2011 06 03 04	0.078	43.21
2011 06 03 05	0.115	30.0
2011 06 03 06	0.15	28.05
2011 06 03 07	0.197	32.76
2011 06 03 08	0.24	40.05
2011 06 03 09	0.266	47.49
2011 06 03 10	0.285	52.86
2011 06 03 11	0.296	56.74
2011 06 03 12	0.299	60.53
2011 06 03 13	0.294	64.15
2011 06 03 14	0.28	68.15
2011 06 03 15	0.292	72.05
2011 06 03 16	0.3	77.73
2011 06 03 17	0.296	84.68
2011 06 03 18	0.281	92.6
2011 06 03 19	0.261	100.74
2011 06 03 20	0.235	106.41
2011 06 03 21	0.21	110.65
2011 06 03 22	0.18	111.42
2011 06 03 23	0.148	104.77
2011 06 04 00	0.107	88.81
2011 06 04 01	0.099	61.19
2011 06 04 02	0.113	43.77
2011 06 04 03	0.119	36.38
2011 06 04 04	0.131	37.82
2011 06 04 05	0.139	44.64
2011 06 04 06	0.138	55.43
2011 06 04 07	0.144	64.54
2011 06 04 08	0.163	68.28
2011 06 04 09	0.175	70.28
2011 06 04 10	0.184	69.07
2011 06 04 11	0.185	68.58
2011 06 04 12	0.176	69.87
2011 06 04 13	0.164	69.78
2011 06 04 14	0.152	67.56
2011 06 04 15	0.166	65.55
2011 06 04 16	0.197	67.53
2011 06 04 17	0.209	75.56
2011 06 04 18	0.203	89.98
2011 06 04 19	0.176	105.59
2011 06 04 20	0.151	115.42
2011 06 04 21	0.107	114.48
2011 06 04 22	0.08	87.69
2011 06 04 23	0.101	57.97
2011 06 05 00	0.133	50.63
2011 06 05 01	0.152	53.4
2011 06 05 02	0.158	59.29
2011 06 05 03	0.149	65.02
2011 06 05 04	0.142	70.02
2011 06 05 05	0.12	82.06
2011 06 05 06	0.089	107.12
2011 06 05 07	0.069	141.69
2011 06 05 08	0.055	177.34
2011 06 05 09	0.041	229.44
2011 06 05 10	0.059	294.6
2011 06 05 11	0.096	323.01
2011 06 05 12	0.127	344.76
2011 06 05 13	0.143	359.67
2011 06 05 14	0.152	11.72
2011 06 05 15	0.158	30.85
2011 06 05 16	0.164	47.58
2011 06 05 17	0.154	62.78
2011 06 05 18	0.141	84.88
2011 06 05 19	0.127	109.76
2011 06 05 20	0.121	131.25
2011 06 05 21	0.105	147.63
2011 06 05 22	0.085	167.63
2011 06 05 23	0.058	189.34
2011 06 06 00	0.043	224.49
2011 06 06 01	0.05	258.52
2011 06 06 02	0.063	281.64
2011 06 06 03	0.076	303.93
2011 06 06 04	0.082	313.5
2011 06 06 05	0.08	319.89
2011 06 06 06	0.06	305.92
2011 06 06 07	0.052	278.38
2011 06 06 08	0.051	262.11
2011 06 06 09	0.05	258.59
2011 06 06 10	0.058	254.14
2011 06 06 11	0.066	257.03
2011 06 06 12	0.046	305.49
2011 06 06 13	0.053	350.63
2011 06 06 14	0.067	12.24
2011 06 06 15	0.081	31.26
2011 06 06 16	0.075	50.81
2011 06 06 17	0.07	73.09
2011 06 06 18	0.075	104.24
